clk,f1,f2,f3,f4,f5,f6,f7,f8,
0x0000000,55,71,39,10,57,73,41,75,
0x0000010,43,59,27,77,45,61,29,00,
0x0001000,55,63,31,02,49,65,33,04,
0x0001010,51,67,35,06,53,69,37,08,
0x0002000,47,63,39,10,57,73,41,75,
0x0002010,43,59,27,77,45,61,29,00,
0x0003000,55,71,39,02,49,65,33,04,
0x0003010,51,67,35,06,53,69,37,08,
0x0004000,47,63,31,02,57,73,41,75,
0x0004010,43,59,27,77,45,61,29,00,
0x0005000,55,71,39,10,57,65,33,04,
0x0005010,51,67,35,06,53,69,37,08,
0x0006000,47,63,31,02,49,65,41,75,
0x0006010,43,59,27,77,45,61,29,00,
0x0007000,55,71,39,10,57,73,41,04,
0x0007010,51,67,35,06,53,69,37,08,
0x0008000,47,63,31,02,49,65,33,04,
0x0008010,43,59,27,77,45,61,29,00,
0x0009000,55,71,39,10,57,73,41,75,
0x0009010,43,67,35,06,53,69,37,08,
0x000a000,47,63,31,02,49,65,33,04,
0x000a010,51,67,27,77,45,61,29,00,
0x000b000,55,71,39,10,57,73,41,75,
0x000b010,43,59,27,06,53,69,37,08,
0x000c000,47,63,31,02,49,65,33,04,
0x000c010,51,67,35,06,45,61,29,00,
0x000d000,55,71,39,10,57,73,41,75,
0x000d010,43,59,27,77,45,69,37,08,
0x000e000,47,63,31,02,49,65,33,04,
0x000e010,51,67,35,06,53,69,29,00,
0x000f000,55,71,39,10,57,73,41,75,
0x000f010,43,59,27,77,45,61,29,08,
0x0010000,47,63,31,02,49,65,33,04,
0x0010010,51,67,35,06,53,69,37,08,
0x0011000,47,71,39,10,57,73,41,75,
0x0011010,43,59,27,77,45,61,29,00,
0x0012000,55,71,31,02,49,65,33,04,
0x0012010,51,67,35,06,53,69,37,08,
0x0013000,47,63,31,10,57,73,41,75,
0x0013010,43,59,27,77,45,61,29,00,
0x0014000,55,71,39,10,49,65,33,04,
0x0014010,51,67,35,06,53,69,37,08,
0x0015000,47,63,31,02,49,73,41,75,
0x0015010,43,59,27,77,45,61,29,00,
0x0016000,55,71,39,10,57,73,33,04,
0x0016010,51,67,35,06,53,69,37,08,
0x0017000,47,63,31,02,49,65,33,75,
0x0017010,43,59,27,77,45,61,29,00,
0x0018000,55,71,39,10,57,73,41,75,
0x0018010,51,67,35,06,53,69,37,08,
0x0019000,47,63,31,02,49,65,33,04,
0x0019010,51,59,27,77,45,61,29,00,
0x001a000,55,71,39,10,57,73,41,75,
0x001a010,43,59,35,06,53,69,37,08,
0x001b000,47,63,31,02,49,65,33,04,
0x001b010,51,67,35,77,45,61,29,00,
0x001c000,55,71,39,10,57,73,41,75,
0x001c010,43,59,27,77,53,69,37,08,
0x001d000,47,63,31,02,49,65,33,04,
0x001d010,51,67,35,06,53,61,29,00,
0x001e000,55,71,39,10,57,73,41,75,
0x001e010,43,59,27,77,45,61,37,08,
0x001f000,47,63,31,02,49,65,33,04,
0x001f010,51,67,35,06,53,69,37,00,
0x0020000,55,71,39,10,57,73,41,75,
0x0020010,43,59,27,77,45,61,29,00,
0x0021000,55,63,31,02,49,65,33,04,
0x0021010,51,67,35,06,53,69,37,08,
0x0022000,47,63,39,10,57,73,41,75,
0x0022010,43,59,27,77,45,61,29,00,
0x0023000,55,71,39,02,49,65,33,04,
0x0023010,51,67,35,06,53,69,37,08,
0x0024000,47,63,31,02,57,73,41,75,
0x0024010,43,59,27,77,45,61,29,00,
0x0025000,55,71,39,10,57,65,33,04,
0x0025010,51,67,35,06,53,69,37,08,
0x0026000,47,63,31,02,49,65,41,75,
0x0026010,43,59,27,77,45,61,29,00,
0x0027000,55,71,39,10,57,73,41,04,
0x0027010,51,67,35,06,53,69,37,08,
0x0028000,47,63,31,02,49,65,33,04,
0x0028010,43,59,27,77,45,61,29,00,
0x0029000,55,71,39,10,57,73,41,75,
0x0029010,43,67,35,06,53,69,37,08,
0x002a000,47,63,31,02,49,65,33,04,
0x002a010,51,67,27,77,45,61,29,00,
0x002b000,55,71,39,10,57,73,41,75,
0x002b010,43,59,27,06,53,69,37,08,
0x002c000,47,63,31,02,49,65,33,04,
0x002c010,51,67,35,06,45,61,29,00,
0x002d000,55,71,39,10,57,73,41,75,
0x002d010,43,59,27,77,45,69,37,08,
0x002e000,47,63,31,02,49,65,33,04,
0x002e010,51,67,35,06,53,69,29,00,
0x002f000,55,71,39,10,57,73,41,75,
0x002f010,43,59,27,77,45,61,29,08,
0x0030000,47,63,31,02,49,65,33,04,
0x0030010,51,67,35,06,53,69,37,08,
0x0031000,47,71,39,10,57,73,41,75,
0x0031010,43,59,27,77,45,61,29,00,
0x0032000,55,71,31,02,49,65,33,04,
0x0032010,51,67,35,06,53,69,37,08,
0x0033000,47,63,31,10,57,73,41,75,
0x0033010,43,59,27,77,45,61,29,00,
0x0034000,55,71,39,10,49,65,33,04,
0x0034010,51,67,35,06,53,69,37,08,
0x0035000,47,63,31,02,49,73,41,75,
0x0035010,43,59,27,77,45,61,29,00,
0x0036000,55,71,39,10,57,73,33,04,
0x0036010,51,67,35,06,53,69,37,08,
0x0037000,47,63,31,02,49,65,33,75,
0x0037010,43,59,27,77,45,61,29,00,
0x0038000,55,71,39,10,57,73,41,75,
0x0038010,51,67,35,06,53,69,37,08,
0x0039000,47,63,31,02,49,65,33,04,
0x0039010,51,59,27,77,45,61,29,00,
0x003a000,55,71,39,10,57,73,41,75,
0x003a010,43,59,35,06,53,69,37,08,
0x003b000,47,63,31,02,49,65,33,04,
0x003b010,51,67,35,77,45,61,29,00,
0x003c000,55,71,39,10,57,73,41,75,
0x003c010,43,59,27,77,53,69,37,08,
0x003d000,47,63,31,02,49,65,33,04,
0x003d010,51,67,35,06,53,61,29,00,
0x003e000,55,71,39,10,57,73,41,75,
0x003e010,43,59,27,77,45,61,37,08,
0x003f000,47,63,31,02,49,65,33,04,
0x003f010,51,67,35,06,53,69,37,00,
0x0040000,55,71,39,10,57,73,41,75,
0x0040010,43,59,27,77,45,61,29,00,
0x0041000,55,63,31,02,49,65,33,04,
0x0041010,51,67,35,06,53,69,37,08,
0x0042000,47,63,39,10,57,73,41,75,
0x0042010,43,59,27,77,45,61,29,00,
0x0043000,55,71,39,02,49,65,33,04,
0x0043010,51,67,35,06,53,69,37,08,
0x0044000,47,63,31,02,57,73,41,75,
0x0044010,43,59,27,77,45,61,29,00,
0x0045000,55,71,39,10,57,65,33,04,
0x0045010,51,67,35,06,53,69,37,08,
0x0046000,47,63,31,02,49,65,41,75,
0x0046010,43,59,27,77,45,61,29,00,
0x0047000,55,71,39,10,57,73,41,04,
0x0047010,51,67,35,06,53,69,37,08,
0x0048000,47,63,31,02,49,65,33,04,
0x0048010,43,59,27,77,45,61,29,00,
0x0049000,55,71,39,10,57,73,41,75,
0x0049010,43,67,35,06,53,69,37,08,
0x004a000,47,63,31,02,49,65,33,04,
0x004a010,51,67,27,77,45,61,29,00,
0x004b000,55,71,39,10,57,73,41,75,
0x004b010,43,59,27,06,53,69,37,08,
0x004c000,47,63,31,02,49,65,33,04,
0x004c010,51,67,35,06,45,61,29,00,
0x004d000,55,71,39,10,57,73,41,75,
0x004d010,43,59,27,77,45,69,37,08,
0x004e000,47,63,31,02,49,65,33,04,
0x004e010,51,67,35,06,53,69,29,00,
0x004f000,55,71,39,10,57,73,41,75,
0x004f010,43,59,27,77,45,61,29,08,
0x0050000,47,63,31,02,49,65,33,04,
0x0050010,51,67,35,06,53,69,37,08,
0x0051000,47,71,39,10,57,73,41,75,
0x0051010,43,59,27,77,45,61,29,00,
0x0052000,55,71,31,02,49,65,33,04,
0x0052010,51,67,35,06,53,69,37,08,
0x0053000,47,63,31,10,57,73,41,75,
0x0053010,43,59,27,77,45,61,29,00,
0x0054000,55,71,39,10,49,65,33,04,
0x0054010,51,67,35,06,53,69,37,08,
0x0055000,47,63,31,02,49,73,41,75,
0x0055010,43,59,27,77,45,61,29,00,
0x0056000,55,71,39,10,57,73,33,04,
0x0056010,51,67,35,06,53,69,37,08,
0x0057000,47,63,31,02,49,65,33,75,
0x0057010,43,59,27,77,45,61,29,00,
0x0058000,55,71,39,10,57,73,41,75,
0x0058010,51,67,35,06,53,69,37,08,
0x0059000,47,63,31,02,49,65,33,04,
0x0059010,51,59,27,77,45,61,29,00,
0x005a000,55,71,39,10,57,73,41,75,
0x005a010,43,59,35,06,53,69,37,08,
0x005b000,47,63,31,02,49,65,33,04,
0x005b010,51,67,35,77,45,61,29,00,
0x005c000,55,71,39,10,57,73,41,75,
0x005c010,43,59,27,77,53,69,37,08,
0x005d000,47,63,31,02,49,65,33,04,
0x005d010,51,67,35,06,53,61,29,00,
0x005e000,55,71,39,10,57,73,41,75,
0x005e010,43,59,27,77,45,61,37,08,
0x005f000,47,63,31,02,49,65,33,04,
0x005f010,51,67,35,06,53,69,37,00,
0x0060000,55,71,39,10,57,73,41,75,
0x0060010,43,59,27,77,45,61,29,00,
0x0061000,55,63,31,02,49,65,33,04,
0x0061010,51,67,35,06,53,69,37,08,
0x0062000,47,63,39,10,57,73,41,75,
0x0062010,43,59,27,77,45,61,29,00,
0x0063000,55,71,39,02,49,65,33,04,
0x0063010,51,67,35,06,53,69,37,08,
0x0064000,47,63,31,02,57,73,41,75,
0x0064010,43,59,27,77,45,61,29,00,
0x0065000,55,71,39,10,57,65,33,04,
0x0065010,51,67,35,06,53,69,37,08,
0x0066000,47,63,31,02,49,65,41,75,
0x0066010,43,59,27,77,45,61,29,00,
0x0067000,55,71,39,10,57,73,41,04,
0x0067010,51,67,35,06,53,69,37,08,
0x0068000,47,63,31,02,49,65,33,04,
0x0068010,43,59,27,77,45,61,29,00,
0x0069000,55,71,39,10,57,73,41,75,
0x0069010,43,67,35,06,53,69,37,08,
0x006a000,47,63,31,02,49,65,33,04,
0x006a010,51,67,27,77,45,61,29,00,
0x006b000,55,71,39,10,57,73,41,75,
0x006b010,43,59,27,06,53,69,37,08,
0x006c000,47,63,31,02,49,65,33,04,
0x006c010,51,67,35,06,45,61,29,00,
0x006d000,55,71,39,10,57,73,41,75,
0x006d010,43,59,27,77,45,69,37,08,
0x006e000,47,63,31,02,49,65,33,04,
0x006e010,51,67,35,06,53,69,29,00,
0x006f000,55,71,39,10,57,73,41,75,
0x006f010,43,59,27,77,45,61,29,08,
0x0070000,47,63,31,02,49,65,33,04,
0x0070010,51,67,35,06,53,69,37,08,
0x0071000,47,71,39,10,57,73,41,75,
0x0071010,43,59,27,77,45,61,29,00,
0x0072000,55,71,31,02,49,65,33,04,
0x0072010,51,67,35,06,53,69,37,08,
0x0073000,47,63,31,10,57,73,41,75,
0x0073010,43,59,27,77,45,61,29,00,
0x0074000,55,71,39,10,49,65,33,04,
0x0074010,51,67,35,06,53,69,37,08,
0x0075000,47,63,31,02,49,73,41,75,
0x0075010,43,59,27,77,45,61,29,00,
0x0076000,55,71,39,10,57,73,33,04,
0x0076010,51,67,35,06,53,69,37,08,
0x0077000,47,63,31,02,49,65,33,75,
0x0077010,43,59,27,77,45,61,29,00,
0x0078000,55,71,39,10,57,73,41,75,
0x0078010,51,67,35,06,53,69,37,08,
0x0079000,47,63,31,02,49,65,33,04,
0x0079010,51,59,27,77,45,61,29,00,
0x007a000,55,71,39,10,57,73,41,75,
0x007a010,43,59,35,06,53,69,37,08,
0x007b000,47,63,31,02,49,65,33,04,
0x007b010,51,67,35,77,45,61,29,00,
0x007c000,55,71,39,10,57,73,41,75,
0x007c010,43,59,27,77,53,69,37,08,
0x007d000,47,63,31,02,49,65,33,04,
0x007d010,51,67,35,06,53,61,29,00,
0x007e000,55,71,39,10,57,73,41,75,
0x007e010,43,59,27,77,45,61,37,08,
